ORGANICA,TITULO,RESPONSABLE,FECHA_INI,FECHA_FIN
ORGA03,Proyecto de Investigación - VEC4VT,00000045A,01/09/2023,31/08/2025
ORGA04,Proyecto de Investigación - PBV893,00000048A,01/11/2025,31/10/2029
ORGA05,Proyecto de Investigación - MPRKLK,00000063A,01/11/2025,31/10/2028
ORGA06,Proyecto de Investigación - 6RLX9B,00000093A,01/11/2023,31/10/2025
ORGA07,Proyecto de Investigación - LULKDY,00000054A,01/11/2021,31/10/2025
ORGA08,Proyecto de Investigación - B0HS8H,00000066A,01/01/2021,31/12/2022
ORGA09,Proyecto de Investigación - FZ9SBA,00000039A,01/11/2024,31/10/2026
ORGA10,Proyecto de Investigación - JG6M1D,00000039A,01/01/2021,31/12/2024
ORGA11,Proyecto de Investigación - ASS4OG,00000093A,01/01/2020,31/12/2024
ORGA12,Proyecto de Investigación - 17RLN9,00000054A,01/07/2024,30/06/2025
ORGA13,Proyecto de Investigación - 0JL9I2,00000022A,01/11/2021,31/10/2024
ORGA14,Proyecto de Investigación - 1X5WCS,00000038A,01/01/2025,31/12/2026
ORGA15,Proyecto de Investigación - S3VPUT,00000016A,01/09/2022,31/08/2026
ORGA16,Proyecto de Investigación - PWJYJ1,00000071A,01/09/2024,31/08/2028
ORGA17,Proyecto de Investigación - NR5V0J,00000100A,01/09/2021,31/08/2025
ORGA18,Proyecto de Investigación - 0CTOD3,00000012A,01/09/2025,31/08/2028
ORGA19,Proyecto de Investigación - YZNVE0,00000046A,01/11/2025,31/10/2028
ORGA20,Proyecto de Investigación - 40X80Q,00000042A,01/09/2023,31/08/2026
ORGA21,Proyecto de Investigación - NHRE2V,00000074A,01/01/2024,31/12/2028
ORGA22,Proyecto de Investigación - DQCIHQ,00000083A,01/09/2024,31/08/2028
ORGA23,Proyecto de Investigación - X2MBQ1,00000027A,01/07/2023,30/06/2027
ORGA24,Proyecto de Investigación - W1UL1X,00000016A,01/07/2020,30/06/2023
ORGA25,Proyecto de Investigación - 1A8641,00000079A,01/11/2025,31/10/2029
ORGA26,Proyecto de Investigación - I9NDLZ,00000030A,01/11/2022,31/10/2026
ORGA27,Proyecto de Investigación - 5Z5A0G,00000082A,01/01/2020,31/12/2021
ORGA28,Proyecto de Investigación - 76XHUS,00000038A,01/11/2020,31/10/2022
ORGA29,Proyecto de Investigación - A1L29P,00000056A,01/09/2024,31/08/2026
ORGA30,Proyecto de Investigación - SIH6B6,00000076A,01/01/2024,31/12/2028
ORGA31,Proyecto de Investigación - 8L1DW1,00000049A,01/01/2020,31/12/2024
ORGA32,Proyecto de Investigación - FB01CJ,00000045A,01/09/2025,31/08/2029
ORGA33,Proyecto de Investigación - JEUSMW,00000025A,01/09/2025,31/08/2027
ORGA34,Proyecto de Investigación - ON3C8R,00000011A,01/01/2024,31/12/2026
ORGA35,Proyecto de Investigación - LCPRB8,00000073A,01/07/2024,30/06/2026
ORGA36,Proyecto de Investigación - T02UIR,00000023A,01/07/2022,30/06/2023
ORGA37,Proyecto de Investigación - 06BO1P,00000080A,01/07/2021,30/06/2024
ORGA38,Proyecto de Investigación - L5A95H,00000036A,01/09/2025,31/08/2028
ORGA39,Proyecto de Investigación - AHU16T,00000033A,01/11/2020,31/10/2024
ORGA40,Proyecto de Investigación - PXRPAF,00000067A,01/09/2022,31/08/2026
ORGA41,Proyecto de Investigación - YR20VG,00000029A,01/01/2023,31/12/2026
ORGA42,Proyecto de Investigación - NWXAWO,00000029A,01/11/2024,31/10/2027
ORGA43,Proyecto de Investigación - QU37RB,00000039A,01/07/2025,30/06/2027
ORGA44,Proyecto de Investigación - MEUSIT,00000011A,01/07/2020,30/06/2024
ORGA45,Proyecto de Investigación - LU1KF4,00000091A,01/11/2023,31/10/2025
ORGA46,Proyecto de Investigación - 13ITJ2,00000066A,01/11/2021,31/10/2025
ORGA47,Proyecto de Investigación - WYTBL5,00000073A,01/01/2021,31/12/2022
ORGA48,Proyecto de Investigación - JMZ8PZ,00000085A,01/01/2025,31/12/2028
ORGA49,Proyecto de Investigación - JWJWIK,00000089A,01/07/2021,30/06/2022
ORGA50,Proyecto de Investigación - YT0YWA,00000016A,01/11/2024,31/10/2026
ORGA51,Proyecto de Investigación - K34GVC,00000048A,01/11/2025,31/10/2026
ORGA52,Proyecto de Investigación - DYZ6IP,00000041A,01/11/2023,31/10/2026
